MFCC_0,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,Clase
-487.24945,111.73611,21.9292,29.800276,7.7296963,-1.8216,-3.8066862,0.9642533,-5.6748943,-2.7924335,-4.111277,0.2885044,-6.462665,berenjena
-467.84125,103.47061,23.951038,31.314747,0.52951765,16.21094,-15.586467,-3.2449815,2.5322149,-3.6403522,-10.387598,-1.3989561,-4.101735,berenjena
-573.8931,60.854973,5.769471,15.946251,7.034983,-0.39996746,1.0339823,-3.2791278,-2.581944,0.5906207,-0.1582238,-1.5934229,-1.5080262,berenjena
-444.12012,121.34247,-11.974351,27.544851,15.651584,10.460982,-1.588435,-4.726678,1.1056492,1.6732261,-6.8481455,-3.560771,0.80807483,berenjena
-505.05734,147.69043,-16.044525,16.518726,6.6898513,-1.7291311,-12.069554,-1.6840986,1.8894264,-4.4335566,-10.061566,-2.0223753,-4.353602,berenjena
-605.1459,86.37102,19.494062,29.671782,5.9695373,7.21511,-7.16503,1.3301806,-6.3604307,2.8183095,-7.636828,0.9874679,-3.9370294,berenjena
-515.58044,87.71537,-10.340582,25.058973,-15.165769,-8.080659,0.2551476,-6.0316916,-8.537769,-1.7880104,-4.3831434,-8.246873,-3.9251468,berenjena
-437.74094,100.56882,-2.4077806,36.759975,-8.938452,-18.491037,-11.201881,-11.566988,-15.155047,-7.7489257,-9.474399,-8.816466,-1.1323028,berenjena
-458.96658,98.49398,1.7859412,21.92953,2.8417614,-2.9048917,-0.03984265,-1.5741426,-9.689699,-3.6496189,-3.3755639,-3.2625513,-3.9634924,choclo
-500.9465,98.24149,14.944519,19.858223,1.2876638,19.62088,-6.7441173,-3.6885886,-1.0932945,-1.5499831,-5.407382,1.7791696,-1.1872364,choclo
-499.31442,27.08681,5.199279,8.111293,4.3295116,0.8548205,2.8078563,0.922795,-2.6937945,-0.39678785,0.9679858,-0.44606486,-0.20520154,choclo
-529.1317,111.594376,7.233495,22.669996,8.930836,17.603956,7.3761773,3.3167186,1.0238897,-2.3428113,-3.1899936,-2.2349088,3.756856,choclo
-424.22134,112.14755,9.025892,2.888328,-11.371028,-0.916426,5.188571,0.43869314,-8.118859,-8.329847,-8.191707,-2.1727293,-0.64393973,choclo
-545.3374,87.56684,6.661065,13.298114,-1.7425723,8.714943,-11.287842,-2.4394116,-6.033219,-0.8028806,-2.437677,-2.7266574,-0.7074056,choclo
-555.43866,72.18163,-10.783437,11.026374,-12.85968,-4.968943,0.47477224,-8.488355,-9.159625,2.6630409,-0.90151554,-4.846245,-2.323206,choclo
-485.46576,73.00148,7.788136,13.872547,-8.651461,-4.092745,-8.199745,-10.884939,-7.5659947,-6.2009153,-4.181185,-5.882082,-2.4896421,choclo
-532.88934,96.539474,7.926701,10.646674,-2.2029152,-1.3491942,4.821404,-0.23148723,-3.4861147,-1.5974312,2.2716227,1.663369,-5.1535873,papa
-498.9511,95.87237,19.32992,17.447605,-6.1257453,15.361584,0.19780639,-1.5631207,-0.5580743,0.364904,0.40339231,0.6611378,4.8929358,papa
-526.6621,39.143036,9.2456045,7.7012606,1.2195356,-1.1268553,4.0080953,0.40509742,-2.7443268,-0.41856897,0.4954171,0.6579316,1.5356396,papa
-511.98697,79.14149,16.349813,11.13484,6.780414,10.032243,3.882426,1.886651,0.54459226,-2.6911638,-0.7766412,1.22202,-0.43672794,papa
-499.09735,111.7427,-2.5600686,-7.326614,-14.598664,-6.1655183,2.7493975,3.1822333,-3.8850026,-4.684774,3.2008877,-1.265712,-4.518205,papa
-589.8881,99.50508,22.887201,6.5467253,2.324666,12.373269,-4.9503365,2.7046628,-5.510545,-4.714043,-0.48033947,0.08003091,-3.0993907,papa
-617.8887,43.32574,-2.1646912,0.60908836,-4.4845667,0.41838002,1.1628114,-0.8002106,-1.3587373,1.4664825,1.2121093,-2.119677,-1.9498801,papa
-493.0274,98.82669,-0.3738045,3.644737,-2.9249756,-1.1798445,-3.110565,-4.8125005,-5.0794144,0.6117991,-4.225609,-6.681953,-0.0485055,papa
-470.96024,79.06143,40.124855,13.157092,3.3737364,4.1350684,-0.1249676,0.7066089,-3.0898507,-2.7497091,-1.4510391,-2.4120564,-7.57156,zanahoria
-466.3256,103.43528,20.9743,24.681301,-9.530241,21.045975,-16.285635,-5.484822,-3.5174484,1.2339323,-10.004519,6.2902546,-8.197239,zanahoria
-563.71747,67.57931,2.8250408,17.09998,4.3794937,-0.5183145,3.4825459,-2.6200643,-2.438504,1.7650565,0.42936096,-0.4852992,-1.5605612,zanahoria
-434.6832,126.852066,-14.072199,24.835266,11.818456,12.327391,-0.30224818,-1.6327406,-2.7962565,2.7908707,-5.5547457,-0.98480135,2.810673,zanahoria
-364.1432,138.97217,-9.345219,-1.4924304,-5.7576036,-7.069937,-6.4994326,0.55268365,-1.9402002,-1.5769643,-2.2193928,0.010989122,-12.834705,zanahoria
-520.7274,82.51591,17.554127,15.44859,-1.5752982,21.308819,-14.833841,8.305388,-10.002017,2.2813077,-2.4013119,-3.9150758,-4.9852376,zanahoria
-522.00714,94.56252,-21.37022,14.529517,-22.898293,-3.2074876,-1.5803049,-4.7847357,-9.042498,4.221872,-5.0045786,-9.415563,-2.9588037,zanahoria
-448.20868,81.237175,-6.0482683,20.59825,-2.467664,0.45615375,-9.215049,-1.097138,-7.327543,1.8423775,-11.090887,-4.3619328,-0.19176441,zanahoria
